"ID","name","location","info","mob_name","wear","date"
"4956","set of draconian field plate","Swamps of Xak Tsaroth",".. this object, a set of draconian field plate, is armor,
and can be referred to as 'plate armor'.
It is of 38th level, weighs 18 pounds, and is worth 200 gold.
You can wear it on your torso.
It is designed to be used by draconians.
Armor class bonus: 11 vs pierce, 14 vs bash, 12 vs slash, and 5 vs magic.
When worn, it
modifies dexterity by 1
modifies mana by 25
modifies damage roll by 2
modifies hit roll by 3","sivak draconian-captain","torso",NULL
"4954","greenish cloak","Underground passage",".. this object, a greenish cloak, is armor,
   and can be referred to as 'cloak greenish'.
It is of 23rd level, weighs 4 pounds, and is worth 4 gold.
You can wear it around your body.
Armor class bonus: 7 vs pierce, 7 vs bash, 4 vs slash, and 4 vs magic.
When worn, it
   modifies health by 25
   modifies damage roll by 2
   modifies all saves by 2","hideous draconian","body","2026-03-22 08:19:31"
"4953","darkened sabre","Underground passage",".. this object, a darkened sabre, is a sword,
and can be referred to as 'sabre darkened'.
It is of 15th level, weighs 4 pounds, and is worth 24 gold.
It deals 4d9 damage (averaging at 20).
Its attacks take the form of an acidic bite.
When worn, it
modifies resistance to holy by 1
modifies damage roll by 4
modifies hit roll by -2","hideous draconian","wield",NULL
"4951","golden girth","Underground Passage",".. this object, a golden girth, is armor,
   and can be referred to as 'girth gold'.
It is of 22nd level, weighs 4 pounds, and is worth 21 gold.
You can wear it about your waist.
Armor class bonus: 6 vs pierce, 5 vs bash, 5 vs slash, and 5 vs magic.
When worn, it
   modifies reflex save by 2
   modifies health by 25
   modifies damage roll by 3","dark elven bandit","waist",NULL
"4952","tattered black cloak","Underground Passage",".. this object, a tattered black cloak, is armor,
   and can be referred to as 'cloak black tattered'.
It is of 21st level, weighs 3 pounds, and is worth 8 gold.
You can wear it around your body.
Armor class bonus: 6 vs pierce, 6 vs bash, 6 vs slash, and 6 vs magic.
When worn, it
   modifies resistance to slashing by 1
   modifies will save by 5
   modifies damage roll by 2
   modifies hit roll by 4","dark elven bandit","body",NULL
"4949","heart of a dwarven mercenary","pax",".. this object, the heart of a dwarven mercenary, is food,
and can be referred to as 'heart'.
It is of 26th level, weighs 2 pounds, and is worth 0 gold.","dwarven mercenary","food",NULL
"4950","hideous grey cowl","Underground Passage",".. this object, a hideous grey cowl, is armor,
   and can be referred to as 'cowl grey hideous'.
It is of 23rd level, weighs 3 pounds, and is worth 30 gold.
You can wear it on your head.
Armor class bonus: 7 vs pierce, 7 vs bash, 7 vs slash, and 7 vs magic.
When worn, it
   modifies fortitude save by 3
   modifies dexterity by 2
   modifies health by 25
   modifies mana by 25
   modifies hit roll by 2
   modifies damage roll by 2","dark elven bandit","head",NULL
"4948","crimson flask","Southern Swamps",".. this object, a crimson flask, is a potion,
and can be referred to as 'crimson flask'.
It is of 20th level, weighs 1 pound, and is worth 44 gold and 1 silver.
You can hold it in your hands.
It contains 40th-level spells of 'cure blindness', 'armor' and 'refresh'.","sold","potion",NULL
"4946","pair of diamond tipped lock picks","pax",".. this object, a pair of diamond tipped lock picks, is treasure,
   and can be referred to as 'lockpicks picks'.
It is of 25th level, weighs 0 pounds, and is worth 64 gold.
You can hold it in your hands.
It sheds a magical aura.
When worn, it
   modifies hit roll by 4
   modifies dexterity by 5
   modifies intelligence by 5","dwarven servant","hold","2026-03-22 08:21:28"
"4947","violet potion","Dranettie Wood",".. this object, a violet potion, is a potion,
and can be referred to as 'violet potion'.
It is of 20th level, weighs 1 pound, and is worth 32 gold and 54 silver.
You can hold it in your hands.
It sheds a magical aura.
It contains a 20th-level spell of 'teleport'.","sold by Dranety Apothecary","potion",NULL
"4945","dagger called ""Flameslinger""","pax",".. this object, the dagger called ""Flameslinger"", is a dagger,
   and can be referred to as 'dagger flameslinger'.
It is of 25th level, weighs 1 pound, and is worth 70 gold.
It glows with a soft light.
It cannot be located by magical means.
It is fireproof and resists corrosion.
It deals 10d4 damage (averaging at 25).
Its attacks take the form of a flaming bite.
It roars with flames.
When worn, it
   modifies health by -15
   modifies hit roll by 3
   modifies damage roll by 5","old kender","wield","2026-03-22 08:22:01"
"5026","electric blue-black spear","Khur Mountains",".. this object, an electric blue-black spear, is a spear,
   and can be referred to as 'spear blue electric black'.
It is of 28th level, weighs 3 pounds, and is worth 140 gold.
It hums faintly and sheds a magical aura.
The curse upon it won't let you drop it.
It cannot be used by those of unbiased soul.
It deals 4d11 damage (averaging at 24).
Its attacks take the form of a thrust.
It drains life from its victims, is designed to be used with two hands and crackles with electricity.
When worn, it
   modifies mana by 25
   modifies strength by -1
   modifies damage roll by 3","blue dragon","wield",NULL
"4942","Shadow Dagger","arkham mausoleum",".. this object, the Shadow Dagger, is a dagger,
and can be referred to as 'shadow dagger litrahth'.
It is of 38th level, weighs 3 pounds, and is worth 298 gold and 70 silver.
It glows with a soft light and hums faintly.
It cannot be located by magical means.
It deals 8d6 damage (averaging at 28).
Its attacks take the form of a pierce.
When worn, it
modifies damage roll by 8
modifies hit roll by 8","Kharzandra, the Dark-elf Vampire","wield",NULL
"4941","straight razor","arkham",".. this object, straight razor, is a dagger,
and can be referred to as 'straight razor'.
It is of 34th level, weighs 1 pound, and is worth 74 gold and 40 silver.
It deals 13d3 damage (averaging at 26).
Its attacks take the form of a pierce.
When worn, it
modifies damage roll by 5
modifies hit roll by -1",,"wield",NULL
"4940","long whip called ""Windsinger""","Plains of Caergoth",".. this object, a long whip called ""Windsinger"", is a whip,
and can be referred to as 'whip windsinger'.
It is of 14th level, weighs 3 pounds, and is worth 29 gold.
It deals 5d6 damage (averaging at 17).
Its attacks take the form of a blast.
When worn, it
modifies damage roll by 5
modifies hit roll by 4","east from caergoth","wield",NULL
"4938","burning piece of wood","south-west from crossroads?",".. this object, a burning piece of wood, is trash,
and can be referred to as 'burning wood'.
It is of 3rd level, weighs 1 pound, and is worth 0 gold.
You can hold it in your hands.
It glows with a soft light.
It is fireproof and resists corrosion.
When worn, it
modifies health by -10","in the potbelly wood stove","hold",NULL
"4937","shimmering scroll","Briarwood (before emerald)",".. this object, a shimmering scroll, is a magical scroll,
and can be referred to as 'scroll shimmering'.
It is of 16th level, weighs 1 pound, and is worth 45 gold.
You can hold it in your hands.
It contains 28th-level spells of 'frenzy' and 'shield'.","gnomish scribe","scroll",NULL
"4935","corpse of a nymph","emerald",".. this object, the corpse of a nymph, is a corpse,
and can be referred to as 'corpse'.
It is of 24th level, weighs 100 pounds, and is worth 0 gold.
Karrn's kicked dirt grazes a nymph.
A nymph is blinded by the dirt in her eyes!","nymph","corpse",NULL
"4936","runed blue scroll","Briarwood (before emerald)",".. this object, a runed blue scroll, is a magical scroll,
and can be referred to as 'scroll blue'.
It is of 15th level, weighs 1 pound, and is worth 38 gold.
You can hold it in your hands.
It contains a 26th-level spell of 'fireball'.","gnomish scribe","scroll",NULL
"4934","flamberge forged from cold steel","south-west from crossroads?",".. this object, a flamberge forged from cold steel, is a sword,
and can be referred to as 'flamberge cold steel'.
It is of 25th level, weighs 16 pounds, and is worth 33 gold.
It sheds a magical aura.
It deals 7d3 damage (averaging at 14).
Its attacks take the form of a cleave.
It is coated in a chilling frost and is designed to be used with two hands.
When worn, it
modifies strength by 2
modifies hit roll by 4
modifies damage roll by 4","granite statue","wield",NULL
"4933","skeleton of a cleric of the Dark Queen","near takh",".. this object, the skeleton of a cleric of the Dark Queen, is a skeleton,
and can be referred to as 'skeleton npcskeleton npc_skeleton'.
It is of 21st level, weighs 24 pounds, and is worth 0 gold and 1 silver.","cleric of the Dark Queen","corpse",NULL
"4931","skeleton of a red-robed mage","south-west from crossroads",".. this object, the skeleton of a red-robed mage, is a skeleton,
and can be referred to as 'skeleton npcskeleton npc_skeleton'.
It is of 13th level, weighs 24 pounds, and is worth 0 gold and 1 silver.","red-robed mage","corpse",NULL
"4932","skeleton of the green frog","forest south from kalaman",".. this object, the skeleton of the green frog, is a skeleton,
and can be referred to as 'skeleton npcskeleton npc_skeleton'.
It is of 14th level, weighs 24 pounds, and is worth 0 gold and 1 silver.
Khas leaves north.
A donkey leaves north.
Karrn leaves north.
You follow Khas.
In the southern market","green grog","corpse",NULL
"4930","carved silver bracelet",,".. this object, a carved silver bracelet, is treasure,
and can be referred to as 'silver bracelet'.
It is of 17th level, weighs 3 pounds, and is worth 46 gold.
You can wear it around your wrist.
When worn, it
modifies health by 10
modifies mana by 15
modifies intelligence by 1",,"wrist",NULL
"4929","morningstar with diamond spikes","Khur mountains",".. this object, a morningstar with diamond spikes, is a flail,
and can be referred to as 'flail star morningstar'.
It is of 26th level, weighs 5 pounds, and is worth 197 gold.
It glows with a soft light, hums faintly and sheds a magical aura.
It is fireproof and resists corrosion.
It deals 5d9 damage (averaging at 25).
Its attacks take the form of a crush.
It crackles with electricity.
When worn, it
modifies mana by 30
modifies wisdom by 1
modifies strength by 1
modifies hit roll by -2
modifies damage roll by 6","foul-smelling black dragon","wield",NULL
"4928","talisman of warding",,".. this object, a talisman of warding, is armor,
and can be referred to as 'talisman warding obsidian'.
It is of 25th level, weighs 0 pounds, and is worth 2 gold and 50 silver.
You can wear it around your neck.
It is invisible and sheds a magical aura.
It cannot be located by magical means.
Armor class bonus: 1 vs pierce, 1 vs bash, 1 vs slash, and 25 vs magic.
When worn, it
modifies resist magic by 5",,"neck",NULL
"4927","long green robe","Kharolis Mountains",".. this object, a long green robe, is armor,
   and can be referred to as 'robe green'.
It is of 15th level, weighs 2 pounds, and is worth 30 gold.
You can wear it around your body.
Armor class bonus: 6 vs pierce, 5 vs bash, 7 vs slash, and 8 vs magic.
When worn, it
   modifies moves by 40
   modifies constitution by 2","messenger","body","2026-03-22 08:04:44"
"4926","green leather beltpouch","Kharolis Mountains",".. this object, a green leather beltpouch, is a container,
and can be referred to as 'pouch beltpouch'.
It is of 13th level, weighs 6 pounds, and is worth 0 gold.
You can wear it about your waist.
Capacity: 800#  Maximum weight: 1000#","merchant","container",NULL
"4924","embroided robe of Thallion silk","Wailing Fens",".. this object, an embroided robe of Thallion silk, is armor,
and can be referred to as 'robe embroided'.
It is of 24th level, weighs 9 pounds, and is worth 167 gold.
You can wear it around your body.
Armor class bonus: 8 vs pierce, 8 vs bash, 8 vs slash, and 8 vs magic.
When worn, it
modifies damage roll by 1
modifies fortitude save by 4
modifies health by 15
modifies dexterity by 1
modifies mana by 25
modifies hit roll by 1","Ghrun the Merchant","body",NULL
"4925","ornately-crafted silver poignard","Wailing Fens",".. this object, an ornately-crafted silver poignard, is a dagger,
and can be referred to as 'poignard dagger silver'.
It is of 22nd level, weighs 3 pounds, and is worth 181 gold.
It deals 4d9 damage (averaging at 20).
Its attacks take the form of a pierce.
When worn, it
modifies hit roll by 3
modifies damage roll by 5","Ghrun the Merchant","wield",NULL
"4922","mud-encrusted velvet slippers","Wailing Fens",".. this object, mud-encrusted velvet slippers, is armor,
and can be referred to as 'slippers silk'.
It is of 14th level, weighs 2 pounds, and is worth 27 gold.
You can wear it on your feet.
Armor class bonus: 6 vs pierce, 6 vs bash, 6 vs slash, and 6 vs magic.
When worn, it
modifies mana by 20
modifies dexterity by 1
modifies damage roll by 1
modifies hit roll by 1
modifies moves by 35","Ghrun the Merchant","feet",NULL
"4923","helmet of burnished bronze","Wailing Fens",".. this object, a helmet of burnished bronze, is armor,
and can be referred to as 'helm bronze'.
It is of 18th level, weighs 5 pounds, and is worth 54 gold.
You can wear it on your head.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 9 vs magic.
When worn, it
modifies dexterity by -1
modifies hit roll by -2
modifies damage roll by 3","dwarf longbeard","head",NULL
"4921","dwarven battleaxe","nightfall",".. this object, a dwarven battleaxe, is an axe,
and can be referred to as 'axe battleaxe'.
It is of 25th level, weighs 18 pounds, and is worth 8 gold.
It cannot be used by those of darkened soul.
It deals 5d6 damage (averaging at 17).
Its attacks take the form of a slice.
When worn, it
modifies damage roll by 2
modifies hit roll by 1","dwarven warrior","wield",NULL
"4920","bloody belt of unicorn skin","Dargaard Keep",".. this object, a bloody belt of unicorn skin, is armor,
and can be referred to as 'belt bloody unicorn skin'.
It is of 35th level, weighs 8 pounds, and is worth 120 gold.
You can wear it about your waist.
It sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 6 vs magic.
When worn, it
modifies armor class by -7
modifies mana by 30
modifies will save by 1
modifies fortitude save by 3
modifies damage roll by 1","Caradoc, the Damned Shade","waist",NULL
"4919","massive black tower shield","Dargaard Keep",".. this object, a massive black tower shield, is armor,
and can be referred to as 'shield tower black'.
It is of 35th level, weighs 8 pounds, and is worth 120 gold.
You can use it as a shield.
It sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be located by magical means.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 11 vs magic.
When worn, it
modifies armor class by -4
modifies resistance to fire by 2
modifies damage roll by 4
modifies hit roll by 3","Caradoc, the Damned Shade","shield",NULL
"4918","sneering jackal-faced helm","Dargaard Keep",".. this object, a sneering jackal-faced helm, is armor,
and can be referred to as 'helm jackal faced metal'.
It is of 35th level, weighs 8 pounds, and is worth 120 gold.
You can wear it on your head.
It sheds a magical aura.
The curse upon it won't let you remove it.
It cannot be located by magical means.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 11 vs magic.
When worn, it
modifies resistance to poison by 6
modifies resistance to fire by 3
modifies will save by 2
modifies armor class by -8
modifies damage roll by 3
modifies hit roll by 3","Caradoc, the Damned Shade","head",NULL
"4917","suit of darkened platemail","mausoleum",".. this object, a suit of darkened platemail, is armor,
and can be referred to as 'darkened plate platemail'.
It is of 35th level, weighs 5 pounds, and is worth 260 gold and 53 silver.
You can wear it on your torso.
It glows with a soft light and hums faintly.
It cannot be used by those of pure soul.
It cannot be located by magical means.
Armor class bonus: 15 vs pierce, 14 vs bash, 14 vs slash, and 10 vs magic.
When worn, it
modifies resistance to acid by 10
modifies fortitude save by 10
modifies damage roll by 3
modifies hit roll by 2
modifies armor class by -20
modifies health by 55
modifies strength by 1","Shadar Lunn","torso",NULL
"4915","leg of Er'Tur","qualinost",".. this object, the leg of Er'Tur, the silver dragon, is food,
and can be referred to as 'leg'.
It is of 49th level, weighs 5 pounds, and is worth 0 gold.","dragon","food",NULL
"4916","some wraith essence","sla mori",".. this object, some wraith essence, is a pill,
and can be referred to as 'wraith essence'.
It is of 20th level, weighs 0 pounds, and is worth 0 gold.
It contains 20th-level spells of 'pass door' and 'cure poison'.","wraith?","pill",NULL
"4914","gold 'Prayer book of Sacred Guardian'","world drop",".. this object, a gold 'Prayer book of Sacred Guardian', is a manual,
and can be referred to as 'gold book prayer book sacred guardian'.
It is of 32nd level, weighs 1 pound, and is worth 0 gold and 5 silver.
You can hold it in your hands.
It sheds a magical aura.
It cannot be located by magical means.",,"manual",NULL
"4913","green-colored wand","kalaman",".. this object, a green-colored wand, is a magical wand,
and can be referred to as 'wand green'.
It is of 15th level, weighs 2 pounds, and is worth 32 gold.
You can hold it in your hands.
It has 2 (out of 2) charges of a 30th-level spell of 'cure disease'.","sold in magic shop","staves",NULL
"4912","fiery dwarven hammer","mountains south of shadowdale",".. this object, a fiery dwarven hammer, is a mace,
and can be referred to as 'hammer dwarven'.
It is of 26th level, weighs 12 pounds, and is worth 135 gold.
It glows with a soft light.
It is fireproof and resists corrosion.
It deals 2d18 damage (averaging at 19).
Its attacks take the form of a flaming bite.
When worn, it
modifies dexterity by -1
modifies damage roll by 6
modifies hit roll by -2","dwarven watchman","wield",NULL
"4911","glowing wand","Caergoth",".. this object, a glowing wand, is a magical wand,
and can be referred to as 'wand glowing'.
It is of 10th level, weighs 1 pound, and is worth 5 gold.
You can hold it in your hands.
It glows with a soft light and sheds a magical aura.
It has 10 (out of 10) charges of a 10th-level spell of 'faerie fire'.","sold","wand",NULL
"4909","bone wand","kalaman",".. this object, a bone wand, is a magical wand,
and can be referred to as 'wand bone'.
It is of 20th level, weighs 2 pounds, and is worth 21 gold.
You can hold it in your hands.
It has 2 (out of 2) charges of a 25th-level spell of 'slow'.","sold in magic shop","wand",NULL
"4910","brass torch","south from new thalos",".. this object, a brass torch, is an exotic weapon,
and can be referred to as 'brass torch'.
It is of 32nd level, weighs 2 pounds, and is worth 10 gold.
It glows with a soft light, hums faintly and sheds a magical aura.
It is fireproof and resists corrosion.
It deals 9d5 damage (averaging at 27).
Its attacks take the form of a flaming bite.
It roars with flames.
When worn, it
modifies damage roll by 5
modifies hit roll by 4
modifies armor class by -10
modifies mana by 40","Efreet Lord","wield",NULL
"4908","emerald jeweled ring","kender village",".. this object, an emerald jeweled ring, is treasure,
   and can be referred to as 'ring green emerald jeweled'.
It is of 15th level, weighs 1 pound, and is worth 20 gold.
You can wear it on your finger.
When worn, it
   modifies armor class by -4
   modifies reflex save by 3
   modifies damage roll by 1
   modifies hit roll by 1","Uncle Trimmedhat","finger",NULL
"4906","word","emerald",".. this object, a word, is armor,
   and can be referred to as 'Word'.
It is of 30th level, weighs 0 pounds, and is worth 3 gold.
You can hold it in your hands.
The curse upon it won't let you remove or drop it.
Armor class bonus: 8 vs pierce, 8 vs bash, 8 vs slash, and 0 vs magic.
When worn, it
   modifies mana by 35
   modifies health by 35","korto","hold",NULL
"4905","silver potion labelled fireball","brewed by invokers from weapons",".. this object, a silver potion labelled fireball, is a potion,
and can be referred to as 'potion ARCPOTION fireball'.
It is of 30th level, weighs 1 pound, and is worth 10 gold.
You can hold it in your hands.
It glows with a soft light and sheds a magical aura.
It contains a 30th-level spell of 'fireball'.",,"potion",NULL
"4903","black pearl ring","mermaids",".. this object, a black pearl ring, is armor,
and can be referred to as 'ring black pearl'.
It is of 30th level, weighs 1 pound, and is worth 20 gold.
You can wear it on your finger.
It sheds a magical aura.
Armor class bonus: 7 vs pierce, 7 vs bash, 8 vs slash, and 7 vs magic.
When worn, it
modifies damage roll by 2
modifies armor class by -4
modifies mana by 15","mermaid","finger",NULL
"4902","flail",,".. this object, a flail, is a flail,
and can be referred to as 'flail'.
It is of 1st level, weighs 5 pounds, and is worth 0 gold and 77 silver.
It deals 1d7 damage (averaging at 4).
Its attacks take the form of a pound.
When worn, it
modifies armor class by 1",,"wield",NULL
"4900","bag","palanthas",".. this object, a bag, is a container,
and can be referred to as 'bag'.
It is of 1st level, weighs 1 pound, and is worth 0 gold and 9 silver.
Capacity: 50#  Maximum weight: 5#","sold","container",NULL
"4901","some slimy finger-spikes","Caverns of the Shadow Cult",".. this object, some slimy finger-spikes, is armor,
and can be referred to as 'spike slimy'.
It is of 21st level, weighs 3 pounds, and is worth 146 gold.
You can wear it on your hands.
Armor class bonus: 5 vs pierce, 5 vs bash, 5 vs slash, and 5 vs magic.
When worn, it
modifies dexterity by -2
modifies damage roll by 3","slimy ghoul","hands",NULL
"4899","silver crown","undine lake",".. this object, a silver crown, is armor,
and can be referred to as 'crown silver'.
It is of 27th level, weighs 3 pounds, and is worth 32 gold.
You can wear it on your head.
It hums faintly and sheds a magical aura.
It is fireproof and resists corrosion.
Armor class bonus: 5 vs pierce, 5 vs bash, 5 vs slash, and 12 vs magic.
When worn, it
modifies hit roll by 1
modifies mana by 25
modifies health by 20
modifies intelligence by 2","Undine priest","head",NULL
"5067","gold-chained bracelet","dragon tower",".. this object, a gold-chained bracelet, is treasure,
   and can be referred to as 'bracelet chain gold gold-chained'.
It is of 37th level, weighs 3 pounds, and is worth 90 gold.
You can wear it around your wrist.
It glows with a soft light.
When worn, it
   modifies reflex save by 2
   modifies fortitude save by 2
   modifies armor class by -10
   modifies mana by 25","Draconian Queed","wrist",NULL
"4897","snakeskin robe","briarwoods south from pala",".. this object, a snakeskin robe, is armor,
and can be referred to as 'snakeskin robe'.
It is of 9th level, weighs 1 pound, and is worth 18 gold.
You can wear it around your body.
It cannot be used by those of darkened soul.
Armor class bonus: 6 vs pierce, 5 vs bash, 5 vs slash, and 4 vs magic.
When worn, it
modifies mana by 10
modifies intelligence by 1
modifies health by 10","anaconda","body",NULL
"4896","gold 'Libram of Flesh Moulding'","world drop",".. this object, a gold 'Libram of Flesh Moulding', is a manual,
and can be referred to as 'gold book libram flesh moulding'.
It is of 33rd level, weighs 1 pound, and is worth 0 gold and 5 silver.
You can hold it in your hands.
It sheds a magical aura.
It cannot be located by magical means.


appears to be useable by high ranking necromancers.",,"manual",NULL
"5021","razor-edged ring","arkham legion",".. this object, a razor-edged ring, is armor,
   and can be referred to as 'razor-edged razor ring'.
It is of 30th level, weighs 1 pound, and is worth 10 gold.
You can wear it on your finger.
Armor class bonus: 4 vs pierce, 3 vs bash, 4 vs slash, and 0 vs magic.
When worn, it
   modifies damage roll by 3","guards in black tower","finger",NULL
"4894","corpse of a summer soldier","Estwilde Forest",".. this object, the corpse of a summer soldier, is a corpse,
and can be referred to as 'corpse'.
It is of 35th level, weighs 100 pounds, and is worth 0 gold.","summer soldier","corpse",NULL
"4891","corpse of a temple guard","Decayed Plain",".. this object, the corpse of a temple guard, is a corpse,
and can be referred to as 'corpse'.
It is of 44th level, weighs 100 pounds, and is worth 0 gold.","temple guard","corpse",NULL
"4892","dwarven warhammer (lower)","nightfall",".. this object, a dwarven warhammer, is a mace,
and can be referred to as 'warhammer hammer'.
It is of 25th level, weighs 18 pounds, and is worth 8 gold.
It cannot be used by those of darkened soul.
It deals 5d6 damage (averaging at 17).
Its attacks take the form of a crush.
When worn, it
modifies damage roll by 1
modifies hit roll by 1","dwarven warrior","wield",NULL
"4890","decorated elven arrow","bears",".. this object, a decorated elven arrow, is ammo,
and can be referred to as 'decorated elven arrow'.
It is of 15th level, weighs 0 pounds, and is worth 0 gold and 40 silver.
Ammo type is arrow.
Its attacks take the form of a stab.
When worn, it
modifies precision with ranged weapons by 6
modifies shooting range by 1","elven archer","ammo",NULL
"4889","corpse of a raven-haired mermaid","naiadian sea",".. this object, the corpse of a raven-haired mermaid, is a corpse,
   and can be referred to as 'corpse'.
It is of 28th level, weighs 100 pounds, and is worth 0 gold.
   modifies damage roll by 19","mermaid","corpse",NULL
"4887","helm lined in velvet","Estwilde Forest",".. this object, a helm lined in velvet, is armor,
and can be referred to as 'velvet lined helm'.
It is of 24th level, weighs 3 pounds, and is worth 24 gold and 50 silver.
You can wear it on your head.
Armor class bonus: 8 vs pierce, 8 vs bash, 8 vs slash, and 8 vs magic.
When worn, it
modifies mana by 50","spring soldier","head",NULL
"4888","pair of velvet gloves","Estwilde Forest",".. this object, a pair of velvet gloves, is armor,
and can be referred to as 'velvet gloves'.
It is of 24th level, weighs 3 pounds, and is worth 42 gold.
You can wear it on your hands.
Armor class bonus: 4 vs pierce, 4 vs bash, 4 vs slash, and 4 vs magic.
When worn, it
modifies mana by 15","spring soldier","hands",NULL
"4886","velvet sash","Estwilde Forest",".. this object, a velvet sash, is armor,
and can be referred to as 'velvet sash'.
It is of 24th level, weighs 3 pounds, and is worth 41 gold.
You can wear it about your waist.
Armor class bonus: 3 vs pierce, 3 vs bash, 3 vs slash, and 3 vs magic.
When worn, it
modifies mana by 80","spring soldier","waist",NULL
"4885","horrible black hood stained with blood","pax",".. this object, a horrible black hood stained with blood, is armor,
   and can be referred to as 'hood blood stained'.
It is of 25th level, weighs 1 pound, and is worth 194 gold.
You can wear it on your head.
The curse upon it won't let you remove it.
Armor class bonus: 9 vs pierce, 8 vs bash, 6 vs slash, and 9 vs magic.
When worn, it
   modifies armor class by -9
   modifies health by 35
   modifies resistance to negative by 8","vile duergar","head","2026-03-22 08:30:53"
"4883","some gnomish things",,".. this object, some gnomish things, is trash,
and can be referred to as 'things gnomish'.
It is of 1st level, weighs 1 pound, and is worth 0 gold.",,"trash",NULL
"4884","Dwarven arm plates of iron","pax",".. this object, Dwarven arm plates of iron, is armor,
   and can be referred to as 'dwarven armplates iron'.
It is of 25th level, weighs 5 pounds, and is worth 45 gold.
You can wear it on your arms.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 5 vs magic.
When worn, it
   modifies damage roll by 2
   modifies hit roll by 4
   modifies strength by 2
   modifies constitution by 2
   modifies health by 25","dwarven guard","arms","2026-03-22 08:20:42"
"4881","corpse of a sprite","emerald",".. this object, the corpse of a sprite, is a corpse,
and can be referred to as 'corpse'.
It is of 17th level, weighs 100 pounds, and is worth 0 gold.","sprite","corpse",NULL
"4882","corpse of a dryad","emerald",".. this object, the corpse of a dryad, is a corpse,
and can be referred to as 'corpse'.
It is of 21st level, weighs 100 pounds, and is worth 0 gold.","dryad","corpse",NULL
"4880","heavy spiked wooden club","on the way to frozen wastelands",".. this object, a heavy spiked wooden club, is a mace,
and can be referred to as 'club spiked wooden heavy'.
It is of 18th level, weighs 9 pounds, and is worth 49 gold.
It deals 4d8 damage (averaging at 18).
Its attacks take the form of a pound.
When worn, it
modifies damage roll by 3","yeti","wield",NULL
"4879","signet ring of the sword order","High Clerists Tower",".. this object, a signet ring of the sword order, is armor,
and can be referred to as 'ring signet sword'.
It is of 30th level, weighs 5 pounds, and is worth 180 gold.
You can wear it on your finger.
It sheds a magical aura.
It can only be used by those of pure soul.
Only knights can use it.
Armor class bonus: 11 vs pierce, 11 vs bash, 11 vs slash, and 11 vs magic.
When worn, it
modifies reflex save by 3
modifies armor class by -5
modifies health by 10
modifies mana by 15
modifies intelligence by 3
modifies hit roll by 3
modifies damage roll by 3","Lord Templar of the Kingfisher","finger",NULL
"4878","oaken hoopak","kender village",".. this object, an oaken hoopak, is a staff,
and can be referred to as 'hoopak oaken staff'.
It is of 15th level, weighs 2 pounds, and is worth 20 gold.
It deals 5d7 damage (averaging at 20).
Its attacks take the form of a smash.
It is designed to be used with two hands.
When worn, it
modifies damage roll by 3
modifies hit roll by 2","Uncle Deeppocket","wield",NULL
"4877","wooden staff wrapped with leather","south-west from crossroads?",".. this object, a wooden staff wrapped with leather, is a staff,
and can be referred to as 'staff wooden'.
It is of 10th level, weighs 5 pounds, and is worth 22 gold.
It deals 5d5 damage (averaging at 15).
Its attacks take the form of a crush.
It is designed to be used with two hands.
When worn, it
modifies mana by 20
modifies reflex save by 1
modifies health by 15","human druid","wield",NULL
"5025","pair of elysium arm guards","nightfall",".. this object, a pair of elysium arm guards, is armor,
   and can be referred to as 'arm armguard elysium'.
It is of 38th level, weighs 1 pound, and is worth 120 gold.
You can wear it on your arms.
It glows with a soft light and hums faintly.
It can only be used by those of pure soul.
Magic was somehow purged from it.
Armor class bonus: 6 vs pierce, 6 vs bash, 6 vs slash, and 6 vs magic.
When worn, it
   modifies reflex save by 6
   modifies health by 40
   modifies armor class by -10
   modifies mana by 20
   modifies damage roll by 3
   modifies hit roll by 3","Last paladin","arms",NULL
"4874","leather belt wrapped in fox furs","Plains of Caergoth",".. this object, a leather belt wrapped in fox furs, is armor,
and can be referred to as 'belt leather fox'.
It is of 9th level, weighs 2 pounds, and is worth 17 gold.
You can wear it about your waist.
Armor class bonus: 6 vs pierce, 4 vs bash, 5 vs slash, and 3 vs magic.
When worn, it
modifies dexterity by 1
modifies damage roll by 1
modifies hit roll by 1","wandering plainsman","waist",NULL
"4873","black flask","nightfall",".. this object, a black flask, is a potion,
and can be referred to as 'black flask'.
It is of 1st level, weighs 0 pounds, and is worth 0 gold.
You can hold it in your hands.
It sheds a magical aura.
It contains 33rd-level spells of 'curse' and 'cause critical'.","in the cabinet","potion",NULL
"4872","purple potion","nightfall",".. this object, a purple potion, is a potion,
and can be referred to as 'purple potion'.
It is of 32nd level, weighs 0 pounds, and is worth 10 gold.
You can hold it in your hands.
It sheds a magical aura.
It contains a 51st-level spell of 'fly'.","in a cabinet near lich of a damned man","potion",NULL
